t_sec,x,y,z
0.0000,-0.012664794921875,-0.034576416015625,-0.9994659423828125
0.6854,-0.011749267578125,-0.034576416015625,-0.9994659423828125
1.8870,-0.011749267578125,-0.035491943359375,-0.9994659423828125
3.0211,-0.011749267578125,-0.035491943359375,-1.00201416015625
3.6972,-0.0125274658203125,-0.035491943359375,-1.00201416015625
4.9094,-0.0125274658203125,-0.035736083984375,-1.00201416015625
6.0421,-0.0125274658203125,-0.035736083984375,-1.0016326904296875
6.7242,-0.0136260986328125,-0.035736083984375,-1.0016326904296875
7.9332,-0.0136260986328125,-0.0364837646484375,-1.0016326904296875
9.0648,-0.0136260986328125,-0.0364837646484375,-1.001129150390625
9.7472,0.0387725830078125,-0.0364837646484375,-1.001129150390625
10.9555,0.0387725830078125,0.017425537109375,-1.001129150390625
