t_sec,x,y,z
0.0000,-0.1479339599609375,-0.1844482421875,-0.9185791015625
0.0787,-0.2834014892578125,-0.1844482421875,-0.9185791015625
2.0054,-0.2834014892578125,-0.4367523193359375,-0.9185791015625
3.0349,-0.2834014892578125,-0.4367523193359375,-0.98004150390625
3.1157,-0.2196502685546875,-0.4367523193359375,-0.98004150390625
5.0318,-0.2196502685546875,-0.1849212646484375,-0.98004150390625
6.0720,-0.2196502685546875,-0.1849212646484375,-0.8974151611328125
10.1976,-0.2404632568359375,-0.1849212646484375,-0.8974151611328125
