std_x,std_y,std_z,mag_std,mag_range,mean_abs_diff,dom_freq,zero_cross,filename,label
0.0006893993623984695,0.0004383732162565388,0.00043098259711414383,0.0004291582193893125,0.0013142802406858056,1.303271158483047e-05,0.198019801980198,3,1_20260920191906,0
0.0006067771302533708,0.00045613489405141295,0.00026712636136019157,0.00026659249810485783,0.0014349782100853137,9.608476382402933e-06,0.099009900990099,2,2_20260920191917,0
0.0670667777076927,0.0008946891841160996,0.0008829951393171054,0.01119921271939621,0.07561414724965876,0.00038245731144066785,0.099009900990099,1,3_20260920191929,0
0.14041326077195074,0.1829158002478788,0.010600676398548524,0.053796078398825886,0.16694183660908535,0.001149628786322201,0.099009900990099,1,4_20260920191940,0
0.00021869844668821758,0.000871400902791048,0.0007548812584029332,0.0007794051464371562,0.0022358596209630655,1.486151174794646e-05,0.099009900990099,1,5_20260920191951,0
0.0005452450974757773,0.00043930479127840115,0.0005202493692891112,0.000517475944682942,0.001469779660019599,1.9022692603276162e-05,0.09852216748768472,3,6_20260920192002,0
0.00018390193945752313,0.0002849667099156112,0.0006001777466990109,0.0005974180770752334,0.0017078632088425305,1.3588274335864395e-05,0.099009900990099,2,7_20260920192013,0
0.0003598172517336748,0.0005442204012553787,0.0005242719549748905,0.0005253567279408979,0.0015226281435942735,1.1870581847999768e-05,0.09049773755656108,2,8_20260920192025,0
0.0003538293799993887,0.00017085489794204249,0.0005441623135663634,0.0005429125275019913,0.0022401083753758044,1.551274277585538e-05,0.09852216748768472,1,9_20260920192036,0
0.0005213543302650275,0.0005195691694822373,0.0006058619509682187,0.0005866627152186689,0.00138762394310743,7.5459875595669155e-06,0.099009900990099,1,10_20260920192047,0
0.0010527748682313124,0.00032500317477823185,0.0005549566271733388,0.000557667887398737,0.0015076000796898636,1.0206632599457369e-05,0.09852216748768472,1,11_20260920192058,0
0.00014974912114085022,0.0003512760847392972,0.0008491028230927239,0.0008486628726685785,0.0024026463063959724,2.1776171729709415e-05,0.09852216748768472,2,12_20260920192110,0
0.0001806094056990468,0.0006354212138524639,0.000549430347896028,0.0005355193953953133,0.001364271613268242,6.786655068996056e-06,0.09049773755656108,1,13_20260920192122,0
0.000611065728547811,0.0005259650805987286,0.00032292799676829256,0.0003120624711021452,0.000845747433589672,5.339171871902286e-06,0.099009900990099,1,14_20260920192133,0
0.0006613589215205285,0.00025565502696203463,0.0007713224867482678,0.0007732145340793315,0.002220236587066937,2.470391990019393e-05,0.09852216748768472,3,15_20260920192144,0
0.006726873048224916,0.00044020770572268143,0.00046605097606383764,0.0005053187821467757,0.0018429158752228947,1.6354942252497784e-05,0.09950248756218905,2,16_20260920192155,0
0.014461332254675647,0.013974542538993898,0.0007081645211918342,0.0011687323288327946,0.003999806033322395,2.9528015444933577e-05,0.0980392156862745,2,17_20260920192206,0
0.0005426000946586179,0.0010733469525821468,0.0005579084053729649,0.0005892257557163819,0.0016048805646506903,1.0661441160279376e-05,0.099009900990099,1,18_20260920192218,0
0.00035823363798727896,0.0002263155661041185,0.0005121339366751702,0.0005131770412610075,0.0015022716305634898,1.1999987148157975e-05,0.09950248756218905,2,19_20260920192229,0
0.0006340144222290591,0.0006846415517604919,0.0008554837245134551,0.000854859163237854,0.0024617892769431826,1.943234233661162e-05,0.09049773755656108,2,20_20260920192241,0
0.0006177697896746237,0.0004153940363242997,0.0004928204936224801,0.00048339527850069236,0.0029543452877069942,2.1508846737635256e-05,0.0980392156862745,3,21_20260920192253,0
0.0005119689552985548,0.00038633731249129033,0.0005432723051712164,0.0005364135842897827,0.0018189333315277167,1.2547773200178134e-05,0.099009900990099,2,22_20260920192304,1
0.00036550563174045093,0.0006629154665266916,0.0007989483389538387,0.0008046162564368677,0.0022361638871135625,1.2374669091028072e-05,0.09090909090909091,1,23_20260920192316,1
6.085250129521029e-05,0.0004768818280956862,0.0007009167394404148,0.0007129286963530824,0.0020406503676231313,2.453539377194454e-05,0.09852216748768472,3,24_20260920192327,1
0.0001561683431094438,0.0005174816148463554,0.00023299142457284926,0.00022417046521416126,0.0007669422870235643,6.366484950527703e-06,0.09852216748768472,2,25_20260920192338,1
0.00032484303753392975,0.0006348558450049548,0.00047238455149515814,0.00045352054305462645,0.0013153619942218864,1.1204724613245176e-05,0.09049773755656108,2,26_20260920192350,1
0.0006758145537160981,0.0009572043650887311,0.0005248669752948368,0.0005543767449415834,0.003117438598053579,1.9708679827718342e-05,0.09852216748768472,3,27_20260920192401,1
0.00023666485893599807,0.0005789785311103332,0.0010957794010424628,0.0011093781491910855,0.003734562659748475,3.353381814162581e-05,0.196078431372549,3,28_20260920192412,1
0.0008826920464115862,0.0002637824202380236,0.0009194172042670283,0.0009157002857522145,0.002606851555428946,2.0399601305044584e-05,0.099009900990099,2,29_20260920192423,1
0.00016827339507989017,0.0005206868682641373,0.00020588329938473716,0.00019974810941974266,0.0011461089242357225,1.03224243207981e-05,0.198019801980198,5,30_20260920192435,1
0.0005287399739802598,0.00018716035750765395,0.00025209166925870365,0.00025311944241110834,0.0007339428080872512,8.15731878878124e-06,0.0980392156862745,3,31_20260920192446,1
0.00021101087010757434,0.000336890144305349,0.0007454750336044665,0.0007455390206895201,0.0021956620696996776,1.9472484743504098e-05,0.09049773755656108,2,32_20260920192458,1
0.0004264706459998495,0.0005318557920523363,0.0008258504093039438,0.0008250269713688523,0.002317471185214748,2.505149821600841e-05,0.09852216748768472,2,33_20260920192509,1
0.002652236955605132,0.0033589691020266773,0.0005575922767813598,0.0005405482601339061,0.0016590219142214035,1.7702917854839677e-05,0.0975609756097561,2,34_20260920192520,1
0.0005674876895281341,0.0008655998736936667,0.0003501438098055319,0.0003387578864684006,0.001056859857208936,6.732117589040137e-06,0.18181818181818182,3,35_20260920192532,1
0.0003759364855143644,0.00031021148322075536,0.0007830606685135671,0.0007812215226197899,0.0021262184708088494,2.0612024930747396e-05,0.09852216748768472,1,36_20260920192543,1
0.00023909735280729756,0.0003161978315836293,0.0007257377358707858,0.0007310331828264527,0.0019975001765277778,1.8145968755823838e-05,0.0975609756097561,2,37_20260920192554,1
0.0002319063378022611,0.0006573953287593896,0.0003629777079374058,0.0003762232918918625,0.0011429585713937929,7.428495353438976e-06,0.09090909090909091,1,38_20260920192606,1
0.0005233129891862635,0.0004394122296883822,0.0006089494988273987,0.0006000178402308252,0.0022520077945074046,1.8096354176359208e-05,0.09852216748768472,4,39_20260920192618,1
0.000346476078237219,0.0005211568573558486,0.0004602707858389466,0.0004584024886200533,0.0013707924077397404,1.7815765193770565e-05,0.0970873786407767,3,40_20260920192629,1
0.0008610081070895108,0.0025742607753230598,0.0009158972337363298,0.0009391015006189728,0.003209689974030816,2.4455261578927185e-05,0.099009900990099,2,41_20260920192640,1
0.00034350204706749436,0.00015111173194572316,0.0004954303473096314,0.000494826477768097,0.002960835810338458,1.5570858260043298e-05,0.19704433497536944,1,42_20260920192651,2
